R,dv
3.650990000000000180e+00,2.262589391583444376e+05
3.715430000000000010e+00,2.446075984258391254e+05
3.780390000000000139e+00,2.221159261892543582e+05
3.867799999999999905e+00,2.198408356073597388e+05
3.967239999999999878e+00,1.980281695947549306e+05
4.067870000000000097e+00,1.934784026780001295e+05
4.169730000000000381e+00,1.629483706441695685e+05
4.272820000000000285e+00,1.396230878626927151e+05
4.377169999999999561e+00,1.190233235441497091e+05
4.459220000000000184e+00,1.073474594231061201e+05
4.530179999999999652e+00,9.824249507410242222e+04
4.601720000000000255e+00,8.942485139872394211e+04
