Channel,R (m),v0 (km/s),dV (m/s),dV_err (m/s),A
1,3.6083,-597.9109,229022.1170,12382.1855,0.0204
2,3.6724,-613.4810,224247.0476,5791.8616,0.0384
3,3.7370,-613.4330,236899.3084,5140.3995,0.0575
4,3.8022,-604.6451,231615.1630,4672.5172,0.0660
5,3.9008,-600.1459,218578.2205,3756.9599,0.0873
6,4.0007,-602.3898,201068.3836,2113.2400,0.1183
7,4.1017,-610.5158,185979.3670,1688.6232,0.1646
8,4.2039,-601.4593,163493.2455,1130.3186,0.2014
9,4.3075,-606.7187,146072.5398,889.3724,0.2401
10,4.4122,-581.8867,127368.1074,809.0281,0.2747
11,4.4828,-574.4549,115389.1446,708.7108,0.2744
12,4.5540,-594.9780,105692.4983,843.8397,0.1714
