Channel,R (m),dV_median (m/s),dV_16 (m/s),dV_84 (m/s),dV_sigma (m/s),dV_curvefit (m/s)
1,3.6083,230271.1455,217841.7115,243012.0439,12585.1662,229022.1170
2,3.6724,224790.2175,219076.2334,230529.3958,5726.5812,224247.0476
3,3.7370,237180.0824,232194.4347,242253.6022,5029.5837,236899.3084
4,3.8022,231723.0029,227180.8193,236419.6700,4619.4254,231615.1630
5,3.9008,218630.1886,214966.0559,222664.5786,3849.2613,218578.2205
6,4.0007,201118.7610,198987.7305,203237.4511,2124.8603,201068.3836
7,4.1017,186119.0089,184434.9897,187752.3638,1658.6870,185979.3670
8,4.2039,163534.2199,162373.3252,164645.8550,1136.2649,163493.2455
9,4.3075,146171.3122,145294.3093,147022.4380,864.0644,146072.5398
10,4.4122,127380.4187,126611.5897,128202.0962,795.2532,127368.1074
11,4.4828,115386.5487,114691.3934,116106.6000,707.6033,115389.1446
12,4.5540,105705.6993,104876.6480,106544.2094,833.7807,105692.4983
