R,dv_median,dv_lower,dv_upper,acceptance_rate
3.650990000000000180e+00,2.313026202846046654e+05,2.240677487588322256e+05,2.386562898988438246e+05,5.932321428571428745e-01
3.715430000000000010e+00,2.495075629845673975e+05,2.429559478766931279e+05,2.564571866145202075e+05,5.944464285714285978e-01
3.780390000000000139e+00,2.275723003570105066e+05,2.217810411939201585e+05,2.335020213616694673e+05,5.926383928571428150e-01
3.867799999999999905e+00,2.249475536977804732e+05,2.198942101541232842e+05,2.304444929660020862e+05,5.931696428571429092e-01
3.967239999999999878e+00,2.030738984222436557e+05,1.994965458297849400e+05,2.067580799622412305e+05,5.936562499999999964e-01
4.067870000000000097e+00,1.995781755258456687e+05,1.965985600070004293e+05,2.026217886142361676e+05,5.933973214285714892e-01
4.169730000000000381e+00,1.696364092440133682e+05,1.673576716248376179e+05,1.720623692441028543e+05,5.932187500000000169e-01
4.272820000000000285e+00,1.469990675668009499e+05,1.448703497156052617e+05,1.494039504998047196e+05,5.936383928571427049e-01
4.377169999999999561e+00,1.273102623964840604e+05,1.250954630374610570e+05,1.295621884257836937e+05,5.922232142857143389e-01
4.459220000000000184e+00,1.165909459469341091e+05,1.141988817312659376e+05,1.189747084127409325e+05,5.923392857142857348e-01
4.530179999999999652e+00,1.076117130048105901e+05,1.051214663377277175e+05,1.101543731597107108e+05,5.933973214285713782e-01
4.601720000000000255e+00,1.001002640821399691e+05,9.583298308809341688e+04,1.046128609170143754e+05,5.925357142857142767e-01
