ch,R,dV,dV_err
1,3.6083,246520.41796979326,11472.85680189345
2,3.67241,242492.77476847652,5338.8162899711
3,3.73703,254291.1262675549,4779.631282478383
4,3.80216,248739.77019474408,4341.20204619769
5,3.90081,236280.88577221677,3463.024858519411
6,4.00065,220506.14238123797,1919.6826243910696
7,4.10169,207533.17538121433,1497.953771661474
8,4.20395,187254.3934052055,974.8638537873502
9,4.30746,172398.09811804083,745.3315953008432
10,4.41224,157485.66798672618,641.5938831555812
11,4.48281,148161.82307368758,529.3022561047584
12,4.55396,141339.00105086554,651.8993863318508
